Brookside Ward,E05001884
Church Aston and Lilleshall Ward,E05001885
College Ward,E05001886
Cuckoo Oak Ward,E05001887
Dawley Magna Ward,E05001888
Donnington Ward,E05001889
Dothill Ward,E05001890
Edgmond Ward,E05001891
Ercall Ward,E05001892
Ercall Magna Ward,E05001893
Hadley and Leegomery Ward,E05001894
Haygate Ward,E05001895
Horsehay and Lightmoor Ward,E05001896
Ironbridge Gorge Ward,E05001897
Ketley and Oakengates Ward,E05001898
Lawley and Overdale Ward,E05001899
Madeley Ward,E05001900
Malinslee Ward,E05001901
Muxton Ward,E05001902
Newport East Ward,E05001903
Newport North Ward,E05001904
Newport South Ward,E05001905
Newport West Ward,E05001906
Park Ward,E05001907
Priorslee Ward,E05001908
St. Georges Ward,E05001909
Shawbirch Ward,E05001910
The Nedge Ward,E05001911
Woodside Ward,E05001912
Wrockwardine Ward,E05001913
Wrockwardine Wood and Trench Ward,E05001914
Abbey Ward,E05001935
Bathavon North Ward,E05001936
Bathavon South Ward,E05001937
Bathavon West Ward,E05001938
Bathwick Ward,E05001939
Chew Valley North Ward,E05001940
Chew Valley South Ward,E05001941
Clutton Ward,E05001942
Combe Down Ward,E05001943
Farmborough Ward,E05001944
High Littleton Ward,E05001945
Keynsham East Ward,E05001946
Keynsham North Ward,E05001947
Keynsham South Ward,E05001948
Kingsmead Ward,E05001949
Lambridge Ward,E05001950
Lansdown Ward,E05001951
Lyncombe Ward,E05001952
Mendip Ward,E05001953
Midsomer Norton North Ward,E05001954
Midsomer Norton Redfield Ward,E05001955
Newbridge Ward,E05001956
Odd Down Ward,E05001957
Oldfield Ward,E05001958
Paulton Ward,E05001959
Peasedown Ward,E05001960
Publow and Whitchurch Ward,E05001961
Radstock Ward,E05001962
Saltford Ward,E05001963
Southdown Ward,E05001964
Timsbury Ward,E05001965
Twerton Ward,E05001966
Walcot Ward,E05001967
Westfield Ward,E05001968
Westmoreland Ward,E05001969
Weston Ward,E05001970
Widcombe Ward,E05001971
Ashley Ward,E05001972
Avonmouth Ward,E05001973
Bedminster Ward,E05001974
Bishopston Ward,E05001975
Bishopsworth Ward,E05001976
Brislington East Ward,E05001977
Brislington West Ward,E05001978
Cabot Ward,E05001979
Clifton Ward,E05001980
Clifton East Ward,E05001981
Cotham Ward,E05001982
Easton Ward,E05001983
Eastville Ward,E05001984
Filwood Ward,E05001985
Frome Vale Ward,E05001986
Hartcliffe Ward,E05001987
Henbury Ward,E05001988
Hengrove Ward,E05001989
Henleaze Ward,E05001990
Hillfields Ward,E05001991
Horfield Ward,E05001992
Kingsweston Ward,E05001993
Knowle Ward,E05001994
Lawrence Hill Ward,E05001995
Lockleaze Ward,E05001996
Redland Ward,E05001997
St. George East Ward,E05001998
St. George West Ward,E05001999
Southmead Ward,E05002000
Southville Ward,E05002001
Stockwood Ward,E05002002
Stoke Bishop Ward,E05002003
Westbury-on-Trym Ward,E05002004
Whitchurch Park Ward,E05002005
Windmill Hill Ward,E05002006
Blagdon and Churchill Ward,E05002009
Clevedon Central Ward,E05002010
Clevedon East Ward,E05002011
Clevedon North Ward,E05002012
Clevedon South Ward,E05002013
Clevedon Walton Ward,E05002014
Clevedon West Ward,E05002015
Clevedon Yeo Ward,E05002016
Congresbury Ward,E05002017
Easton-in-Gordano Ward,E05002018
Gordano Ward,E05002019
Nailsea East Ward,E05002022
Nailsea North and West Ward,E05002023
Pill Ward,E05002024
Portishead Central Ward,E05002025
Portishead Coast Ward,E05002026
Portishead East Ward,E05002027
Portishead Redcliffe Bay Ward,E05002028
Portishead South and North Weston Ward,E05002029
Portishead West Ward,E05002030
Weston-Super-Mare Central Ward,E05002031
Weston-Super-Mare Milton and Old Worle Ward,E05002034
Weston-Super-Mare South Ward,E05002036
Weston-Super-Mare South Worle Ward,E05002037
Weston-Super-Mare West Ward,E05002038
Wraxall and Long Ashton Ward,E05002040
Yatton Ward,E05002042
Almondsbury Ward,E05002043
Bitton Ward,E05002044
Boyd Valley Ward,E05002045
Bradley Stoke Central and Stoke Lodge Ward,E05002046
Bradley Stoke North Ward,E05002047
Bradley Stoke South Ward,E05002048
Charfield Ward,E05002049
Chipping Sodbury Ward,E05002050
Cotswold Edge Ward,E05002051
Dodington Ward,E05002052
Downend Ward,E05002053
Emersons Green Ward,E05002054
Filton Ward,E05002055
Frampton Cotterell Ward,E05002056
Frenchay and Stoke Park Ward,E05002057
Hanham Ward,E05002058
Kings Chase Ward,E05002059
Ladden Brook Ward,E05002060
Longwell Green Ward,E05002061
Oldland Common Ward,E05002062
Parkwall Ward,E05002063
Patchway Ward,E05002064
Pilning and Severn Beach Ward,E05002065
Rodway Ward,E05002066
Severn Ward,E05002067
Siston Ward,E05002068
Staple Hill Ward,E05002069
Stoke Gifford Ward,E05002070
Thornbury North Ward,E05002071
Thornbury South and Alveston Ward,E05002072
Westerleigh Ward,E05002073
Winterbourne Ward,E05002074
Woodstock Ward,E05002075
Yate Central Ward,E05002076
Yate North Ward,E05002077
Budshead Ward,E05002078
Compton Ward,E05002079
Devonport Ward,E05002080
Drake Ward,E05002081
Efford and Lipson Ward,E05002082
Eggbuckland Ward,E05002083
Ham Ward,E05002084
Honicknowle Ward,E05002085
Moor View Ward,E05002086
Peverell Ward,E05002087
Plympton Chaddlewood Ward,E05002088
Plympton Erle Ward,E05002089
Plympton St. Mary Ward,E05002090
Plymstock Dunstone Ward,E05002091
Plymstock Radford Ward,E05002092
St. Budeaux Ward,E05002093
St. Peter and the Waterfront Ward,E05002094
Southway Ward,E05002095
Stoke Ward,E05002096
Sutton and Mount Gould Ward,E05002097
Berry Head-with-Furzeham Ward,E05002098
Blatchcombe Ward,E05002099
Churston-with-Galmpton Ward,E05002100
Clifton-with-Maidenway Ward,E05002101
Cockington-with-Chelston Ward,E05002102
Ellacombe Ward,E05002103
Goodrington-with-Roselands Ward,E05002104
Preston Ward,E05002105
Roundham-with-Hyde Ward,E05002106
St. Marychurch Ward,E05002107
St. Mary's-with-Summercombe Ward,E05002108
Shiphay-with-the-Willows Ward,E05002109
Tormohun Ward,E05002110
Watcombe Ward,E05002111
Wellswood Ward,E05002112
Boscombe East Ward,E05002113
Boscombe West Ward,E05002114
Central Ward,E05002115
East Cliff and Springbourne Ward,E05002116
East Southbourne and Tuckton Ward,E05002117
Kinson North Ward,E05002118
Kinson South Ward,E05002119
Littledown and Iford Ward,E05002120
Moordown Ward,E05002121
Queen's Park Ward,E05002122
Redhill and Northbourne Ward,E05002123
Strouden Park Ward,E05002124
Talbot and Branksome Woods Ward,E05002125
Throop and Muscliff Ward,E05002126
Wallisdown and Winton West Ward,E05002127
West Southbourne Ward,E05002128
Westbourne and West Cliff Ward,E05002129
Winton East Ward,E05002130
Alderney Ward,E05002131
Branksome East Ward,E05002132
Branksome West Ward,E05002133
Broadstone Ward,E05002134
Canford Cliffs Ward,E05002135
Canford Heath East Ward,E05002136
Canford Heath West Ward,E05002137
Creekmoor Ward,E05002138
Hamworthy East Ward,E05002139
Hamworthy West Ward,E05002140
Merley and Bearwood Ward,E05002141
Newtown Ward,E05002142
Oakdale Ward,E05002143
Parkstone Ward,E05002144
Penn Hill Ward,E05002145
Poole Town Ward,E05002146
Barnack Ward,E05002169
Bretton North Ward,E05002170
Bretton South Ward,E05002171
Central Ward,E05002172
Dogsthorpe Ward,E05002173
East Ward,E05002174
Eye and Thorney Ward,E05002175
Fletton and Woodston Ward,E05002176
Glinton and Wittering Ward,E05002177
Newborough Ward,E05002178
North Ward,E05002179
Northborough Ward,E05002180
Orton Longueville Ward,E05002181
Orton Waterville Ward,E05002182
Orton with Hampton Ward,E05002183
Park Ward,E05002184
Paston Ward,E05002185
Ravensthorpe Ward,E05002186
Stanground Central Ward,E05002187
Stanground East Ward,E05002188
Walton Ward,E05002189
Werrington North Ward,E05002190
Werrington South Ward,E05002191
West Ward,E05002192
Barnfield Ward,E05002193
Biscot Ward,E05002194
Bramingham Ward,E05002195
Challney Ward,E05002196
Crawley Ward,E05002197
Dallow Ward,E05002198
Farley Ward,E05002199
High Town Ward,E05002200
Icknield Ward,E05002201
Leagrave Ward,E05002202
Lewsey Ward,E05002203
Limbury Ward,E05002204
Northwell Ward,E05002205
Round Green Ward,E05002206
Saints Ward,E05002207
South Ward,E05002208
Stopsley Ward,E05002209
Sundon Park Ward,E05002210
Wigmore Ward,E05002211
Belfairs Ward,E05002212
Blenheim Park Ward,E05002213
Chalkwell Ward,E05002214
Eastwood Park Ward,E05002215
Kursaal Ward,E05002216
Leigh Ward,E05002217
Milton Ward,E05002218
Prittlewell Ward,E05002219
St. Laurence Ward,E05002220
St. Luke's Ward,E05002221
Shoeburyness Ward,E05002222
Southchurch Ward,E05002223
Thorpe Ward,E05002224
Victoria Ward,E05002225
Westborough Ward,E05002226
West Leigh Ward,E05002227
West Shoebury Ward,E05002228
Aveley and Uplands Ward,E05002229
Belhus Ward,E05002230
Chadwell St. Mary Ward,E05002231
Chafford and North Stifford Ward,E05002232
Corringham and Fobbing Ward,E05002233
East Tilbury Ward,E05002234
Grays Riverside Ward,E05002235
Grays Thurrock Ward,E05002236
Little Thurrock Blackshots Ward,E05002237
Little Thurrock Rectory Ward,E05002238
Ockendon Ward,E05002239
Orsett Ward,E05002240
South Chafford Ward,E05002241
Stanford East and Corringham Town Ward,E05002242
Stanford-le-Hope West Ward,E05002243
Stifford Clays Ward,E05002244
The Homesteads Ward,E05002245
Tilbury Riverside and Thurrock Park Ward,E05002246
Tilbury St. Chads Ward,E05002247
West Thurrock and South Stifford Ward,E05002248
Chatham Central Ward,E05002249
Cuxton and Halling Ward,E05002250
Gillingham North Ward,E05002251
Gillingham South Ward,E05002252
Hempstead and Wigmore Ward,E05002253
Lordswood and Capstone Ward,E05002254
Luton and Wayfield Ward,E05002255
Peninsula Ward,E05002256
Princes Park Ward,E05002257
Rainham Central Ward,E05002258
Rainham North Ward,E05002259
Rainham South Ward,E05002260
River Ward,E05002261
Rochester East Ward,E05002262
Rochester South and Horsted Ward,E05002263
Rochester West Ward,E05002264
Strood North Ward,E05002265
Strood Rural Ward,E05002266
Strood South Ward,E05002267
Twydall Ward,E05002268
Walderslade Ward,E05002269
Watling Ward,E05002270
Ascot Ward,E05002271
Binfield with Warfield Ward,E05002272
Bullbrook Ward,E05002273
Central Sandhurst Ward,E05002274
College Town Ward,E05002275
Crown Wood Ward,E05002276
Crowthorne Ward,E05002277
Great Hollands North Ward,E05002278
Great Hollands South Ward,E05002279
Hanworth Ward,E05002280
Harmans Water Ward,E05002281
Little Sandhurst and Wellington Ward,E05002282
Old Bracknell Ward,E05002283
Owlsmoor Ward,E05002284
Priestwood and Garth Ward,E05002285
Warfield Harvest Ride Ward,E05002286
Wildridings and Central Ward,E05002287
Winkfield and Cranbourne Ward,E05002288
Aldermaston Ward,E05002289
Basildon Ward,E05002290
Birch Copse Ward,E05002291
Bucklebury Ward,E05002292
Burghfield Ward,E05002293
Calcot Ward,E05002294
Chieveley Ward,E05002295
Clay Hill Ward,E05002296
Cold Ash Ward,E05002297
Compton Ward,E05002298
Downlands Ward,E05002299
Falkland Ward,E05002300
Greenham Ward,E05002301
Hungerford Ward,E05002302
Kintbury Ward,E05002303
Lambourn Valley Ward,E05002304
Mortimer Ward,E05002305
Northcroft Ward,E05002306
Pangbourne Ward,E05002307
Purley on Thames Ward,E05002308
St. Johns Ward,E05002309
Speen Ward,E05002310
Sulhamstead Ward,E05002311
Thatcham Central Ward,E05002312
Thatcham North Ward,E05002313
Thatcham South and Crookham Ward,E05002314
Thatcham West Ward,E05002315
Theale Ward,E05002316
Victoria Ward,E05002317
Westwood Ward,E05002318
Abbey Ward,E05002319
Battle Ward,E05002320
Caversham Ward,E05002321
Church Ward,E05002322
Katesgrove Ward,E05002323
Kentwood Ward,E05002324
Mapledurham Ward,E05002325
Minster Ward,E05002326
Norcot Ward,E05002327
Park Ward,E05002328
Peppard Ward,E05002329
Redlands Ward,E05002330
Southcote Ward,E05002331
Thames Ward,E05002332
Tilehurst Ward,E05002333
Whitley Ward,E05002334
Baylis and Stoke Ward,E05002335
Britwell Ward,E05002336
Central Ward,E05002337
Chalvey Ward,E05002338
Cippenham Green Ward,E05002339
Cippenham Meadows Ward,E05002340
Colnbrook with Poyle Ward,E05002341
Farnham Ward,E05002342
Foxborough Ward,E05002343
Haymill Ward,E05002344
Kedermister Ward,E05002345
Langley St. Mary's Ward,E05002346
Upton Ward,E05002347
Wexham Lea Ward,E05002348
Ascot and Cheapside Ward,E05002349
Belmont Ward,E05002350
Bisham and Cookham Ward,E05002351
Boyn Hill Ward,E05002352
Bray Ward,E05002353
Castle Without Ward,E05002354
Clewer East Ward,E05002355
Clewer North Ward,E05002356
Clewer South Ward,E05002357
Cox Green Ward,E05002358
Datchet Ward,E05002359
Eton and Castle Ward,E05002360
Eton Wick Ward,E05002361
Furze Platt Ward,E05002362
Horton and Wraysbury Ward,E05002363
Hurley and Walthams Ward,E05002364
Maidenhead Riverside Ward,E05002365
Old Windsor Ward,E05002366
Oldfield Ward,E05002367
Park Ward,E05002368
Pinkneys Green Ward,E05002369
Sunningdale Ward,E05002370
Sunninghill and South Ascot Ward,E05002371
Arborfield Ward,E05002372
Barkham Ward,E05002373
Bulmershe and Whitegates Ward,E05002374
Charvil Ward,E05002375
Coronation Ward,E05002376
Emmbrook Ward,E05002377
Evendons Ward,E05002378
Finchampstead North Ward,E05002379
Finchampstead South Ward,E05002380
Hawkedon Ward,E05002381
Hillside Ward,E05002382
Hurst Ward,E05002383
Loddon Ward,E05002384
Maiden Erlegh Ward,E05002385
Norreys Ward,E05002386
"Remenham, Wargrave and Ruscombe Ward",E05002387
Shinfield North Ward,E05002388
Shinfield South Ward,E05002389
Sonning Ward,E05002390
South Lake Ward,E05002391
Swallowfield Ward,E05002392
Twyford Ward,E05002393
Wescott Ward,E05002394
Winnersh Ward,E05002395
Wokingham Without Ward,E05002396
Bletchley and Fenny Stratford Ward,E05002397
Bradwell Ward,E05002398
Campbell Park Ward,E05002399
Danesborough Ward,E05002400
Denbigh Ward,E05002401
Eaton Manor Ward,E05002402
Emerson Valley Ward,E05002403
Furzton Ward,E05002404
Hanslope Park Ward,E05002405
Linford North Ward,E05002406
Linford South Ward,E05002407
Loughton Park Ward,E05002408
Middleton Ward,E05002409
Newport Pagnell North Ward,E05002410
Newport Pagnell South Ward,E05002411
Olney Ward,E05002412
Sherington Ward,E05002413
Stantonbury Ward,E05002414
Stony Stratford Ward,E05002415
Walton Park Ward,E05002416
Whaddon Ward,E05002417
Wolverton Ward,E05002418
Woughton Ward,E05002419
Brunswick and Adelaide Ward,E05002420
Central Hove Ward,E05002421
East Brighton Ward,E05002422
Goldsmid Ward,E05002423
Hangleton and Knoll Ward,E05002424
Hanover and Elm Grove Ward,E05002425
Hollingdean and Stanmer Ward,E05002426
Moulsecoomb and Bevendean Ward,E05002427
North Portslade Ward,E05002428
Patcham Ward,E05002429
Preston Park Ward,E05002430
Queen's Park Ward,E05002431
Regency Ward,E05002432
Rottingdean Coastal Ward,E05002433
St. Peter's and North Laine Ward,E05002434
South Portslade Ward,E05002435
Hove Park Ward,E05002436
Westbourne Ward,E05002437
Wish Ward,E05002438
Withdean Ward,E05002439
Woodingdean Ward,E05002440
Baffins Ward,E05002441
Central Southsea Ward,E05002442
Charles Dickens Ward,E05002443
Copnor Ward,E05002444
Cosham Ward,E05002445
Drayton and Farlington Ward,E05002446
Eastney and Craneswater Ward,E05002447
Fratton Ward,E05002448
Hilsea Ward,E05002449
Milton Ward,E05002450
Nelson Ward,E05002451
Paulsgrove Ward,E05002452
St. Jude Ward,E05002453
St. Thomas Ward,E05002454
Bargate Ward,E05002455
Bassett Ward,E05002456
Bevois Ward,E05002457
Bitterne Ward,E05002458
Bitterne Park Ward,E05002459
Coxford Ward,E05002460
Freemantle Ward,E05002461
Harefield Ward,E05002462
Millbrook Ward,E05002463
Peartree Ward,E05002464
Portswood Ward,E05002465
Redbridge Ward,E05002466
Shirley Ward,E05002467
