West Kirby and Thurstaston Ward,E05000975
Central Ward,E05000976
Cudworth Ward,E05000977
Darfield Ward,E05000978
Darton East Ward,E05000979
Darton West Ward,E05000980
Dearne North Ward,E05000981
Dearne South Ward,E05000982
Dodworth Ward,E05000983
Hoyland Milton Ward,E05000984
Kingstone Ward,E05000985
Monk Bretton Ward,E05000986
North East Ward,E05000987
Old Town Ward,E05000988
Penistone East Ward,E05000989
Penistone West Ward,E05000990
Rockingham Ward,E05000991
Royston Ward,E05000992
St. Helens Ward,E05000993
Stairfoot Ward,E05000994
Wombwell Ward,E05000995
Worsbrough Ward,E05000996
Adwick Ward,E05000997
Armthorpe Ward,E05000998
Askern Spa Ward,E05000999
Balby Ward,E05001000
Bentley Ward,E05001001
Bessacarr and Cantley Ward,E05001002
Central Ward,E05001003
Conisbrough and Denaby Ward,E05001004
"Edenthorpe, Kirk Sandall and Barnby Dun Ward",E05001005
Edlington and Warmsworth Ward,E05001006
Finningley Ward,E05001007
Great North Road Ward,E05001008
Hatfield Ward,E05001009
Mexborough Ward,E05001010
Rossington Ward,E05001011
Sprotbrough Ward,E05001012
Stainforth and Moorends Ward,E05001013
Thorne Ward,E05001014
Torne Valley Ward,E05001015
Town Moor Ward,E05001016
Wheatley Ward,E05001017
Boston Castle Ward,E05001019
Brinsworth and Catcliffe Ward,E05001020
Hellaby Ward,E05001022
Holderness Ward,E05001023
Hoober Ward,E05001024
Keppel Ward,E05001025
Maltby Ward,E05001026
Rawmarsh Ward,E05001027
Rother Vale Ward,E05001028
Rotherham East Ward,E05001029
Rotherham West Ward,E05001030
Silverwood Ward,E05001031
Sitwell Ward,E05001032
Swinton Ward,E05001033
Valley Ward,E05001034
Wales Ward,E05001035
Wath Ward,E05001036
Wickersley Ward,E05001037
Wingfield Ward,E05001038
Arbourthorne Ward,E05001039
Beauchief and Greenhill Ward,E05001040
Beighton Ward,E05001041
Birley Ward,E05001042
Broomhill Ward,E05001043
Burngreave Ward,E05001044
Central Ward,E05001045
Crookes Ward,E05001046
Darnall Ward,E05001047
Dore and Totley Ward,E05001048
East Ecclesfield Ward,E05001049
Ecclesall Ward,E05001050
Firth Park Ward,E05001051
Fulwood Ward,E05001052
Gleadless Valley Ward,E05001053
Graves Park Ward,E05001054
Hillsborough Ward,E05001055
Manor Castle Ward,E05001056
Mosborough Ward,E05001057
Nether Edge Ward,E05001058
Richmond Ward,E05001059
Shiregreen and Brightside Ward,E05001060
Southey Ward,E05001061
Stannington Ward,E05001062
Stocksbridge and Upper Don Ward,E05001063
Walkley Ward,E05001064
West Ecclesfield Ward,E05001065
Woodhouse Ward,E05001066
Birtley Ward,E05001067
Blaydon Ward,E05001068
Bridges Ward,E05001069
Chopwell and Rowlands Gill Ward,E05001070
Chowdene Ward,E05001071
Crawcrook and Greenside Ward,E05001072
Deckham Ward,E05001073
Dunston and Teams Ward,E05001074
Dunston Hill and Whickham East Ward,E05001075
Felling Ward,E05001076
High Fell Ward,E05001077
Lamesley Ward,E05001078
Lobley Hill and Bensham Ward,E05001079
Low Fell Ward,E05001080
Pelaw and Heworth Ward,E05001081
"Ryton, Crookhill and Stella Ward",E05001082
Saltwell Ward,E05001083
Wardley and Leam Lane Ward,E05001084
Whickham North Ward,E05001085
Whickham South and Sunniside Ward,E05001086
Windy Nook and Whitehills Ward,E05001087
Winlaton and High Spen Ward,E05001088
Benwell and Scotswood Ward,E05001089
Blakelaw Ward,E05001090
Byker Ward,E05001091
Castle Ward,E05001092
Dene Ward,E05001093
Denton Ward,E05001094
East Gosforth Ward,E05001095
Elswick Ward,E05001096
Fawdon Ward,E05001097
Fenham Ward,E05001098
Kenton Ward,E05001099
Lemington Ward,E05001100
Newburn Ward,E05001101
North Heaton Ward,E05001102
North Jesmond Ward,E05001103
Ouseburn Ward,E05001104
Parklands Ward,E05001105
South Heaton Ward,E05001106
South Jesmond Ward,E05001107
Walker Ward,E05001108
Walkergate Ward,E05001109
Westerhope Ward,E05001110
Westgate Ward,E05001111
West Gosforth Ward,E05001112
Wingrove Ward,E05001113
Woolsington Ward,E05001114
Battle Hill Ward,E05001115
Benton Ward,E05001116
Camperdown Ward,E05001117
Chirton Ward,E05001118
Collingwood Ward,E05001119
Cullercoats Ward,E05001120
Howdon Ward,E05001121
Killingworth Ward,E05001122
Longbenton Ward,E05001123
Monkseaton North Ward,E05001124
Monkseaton South Ward,E05001125
Northumberland Ward,E05001126
Preston Ward,E05001127
Riverside Ward,E05001128
St. Mary's Ward,E05001129
Tynemouth Ward,E05001130
Valley Ward,E05001131
Wallsend Ward,E05001132
Weetslade Ward,E05001133
Whitley Bay Ward,E05001134
Beacon and Bents Ward,E05001135
Bede Ward,E05001136
Biddick and All Saints Ward,E05001137
Boldon Colliery Ward,E05001138
Cleadon and East Boldon Ward,E05001139
Cleadon Park Ward,E05001140
Fellgate and Hedworth Ward,E05001141
Harton Ward,E05001142
Hebburn North Ward,E05001143
Hebburn South Ward,E05001144
Horsley Hill Ward,E05001145
Monkton Ward,E05001146
Primrose Ward,E05001147
Simonside and Rekendyke Ward,E05001148
Westoe Ward,E05001149
West Park Ward,E05001150
Whitburn and Marsden Ward,E05001151
Whiteleas Ward,E05001152
Barnes Ward,E05001153
Castle Ward,E05001154
Copt Hill Ward,E05001155
Doxford Ward,E05001156
Fulwell Ward,E05001157
Hendon Ward,E05001158
Hetton Ward,E05001159
Houghton Ward,E05001160
Millfield Ward,E05001161
Pallion Ward,E05001162
Redhill Ward,E05001163
Ryhope Ward,E05001164
St. Anne's Ward,E05001165
St. Chad's Ward,E05001166
St. Michael's Ward,E05001167
St. Peter's Ward,E05001168
Sandhill Ward,E05001169
Shiney Row Ward,E05001170
Silksworth Ward,E05001171
Southwick Ward,E05001172
Washington Central Ward,E05001173
Washington East Ward,E05001174
Washington North Ward,E05001175
Washington South Ward,E05001176
Washington West Ward,E05001177
Acocks Green Ward,E05001178
Aston Ward,E05001179
Bartley Green Ward,E05001180
Billesley Ward,E05001181
Bordesley Green Ward,E05001182
Bournville Ward,E05001183
Brandwood Ward,E05001184
Edgbaston Ward,E05001185
Erdington Ward,E05001186
Hall Green Ward,E05001187
Handsworth Wood Ward,E05001188
Harborne Ward,E05001189
Hodge Hill Ward,E05001190
Kings Norton Ward,E05001191
Kingstanding Ward,E05001192
Ladywood Ward,E05001193
